	k	BF	sign	bias	self_loop	self_loop_index	Real_k	Real_sign	real_bias	EF_BF
82	7	10110010001000001111101110110010001000000000000010110010001000001111101110110010111111111111101110110010001000001111101110110010	aiaiiai	64	N	NA	7	aiaiiai	64	10110010001000001111101110110010001000000000000010110010001000001111101110110010111111111111101110110010001000001111101110110010
83	7	01110001000100001111011101110001000100000000000001110001000100001111011101110001111111111111011101110001000100001111011101110001	aiaiiaa	64	N	NA	7	aiaiiaa	64	01110001000100001111011101110001000100000000000001110001000100001111011101110001111111111111011101110001000100001111011101110001
84	7	10001110000010001110111110001110000010000000000010001110000010001110111110001110111111111110111110001110000010001110111110001110	aiaiaii	64	N	NA	7	aiaiaii	64	10001110000010001110111110001110000010000000000010001110000010001110111110001110111111111110111110001110000010001110111110001110
85	7	01001101000001001101111101001101000001000000000001001101000001001101111101001101111111111101111101001101000001001101111101001101	aiaiaia	64	N	NA	7	aiaiaia	64	01001101000001001101111101001101000001000000000001001101000001001101111101001101111111111101111101001101000001001101111101001101
86	7	00101011000000101011111100101011000000100000000000101011000000101011111100101011111111111011111100101011000000101011111100101011	aiaiaai	64	N	NA	7	aiaiaai	64	00101011000000101011111100101011000000100000000000101011000000101011111100101011111111111011111100101011000000101011111100101011
87	7	00010111000000010111111100010111000000010000000000010111000000010111111100010111111111110111111100010111000000010111111100010111	aiaiaaa	64	N	NA	7	aiaiaaa	64	00010111000000010111111100010111000000010000000000010111000000010111111100010111111111110111111100010111000000010111111100010111
88	7	10000000111010001110100011111110000000001000000010000000111010001110100011111110111111101111111110000000111010001110100011111110	aiaaiii	64	N	NA	7	aiaaiii	64	10000000111010001110100011111110000000001000000010000000111010001110100011111110111111101111111110000000111010001110100011111110
89	7	01000000110101001101010011111101000000000100000001000000110101001101010011111101111111011111111101000000110101001101010011111101	aiaaiia	64	N	NA	7	aiaaiia	64	01000000110101001101010011111101000000000100000001000000110101001101010011111101111111011111111101000000110101001101010011111101
90	7	00100000101100101011001011111011000000000010000000100000101100101011001011111011111110111111111100100000101100101011001011111011	aiaaiai	64	N	NA	7	aiaaiai	64	00100000101100101011001011111011000000000010000000100000101100101011001011111011111110111111111100100000101100101011001011111011
91	7	00010000011100010111000111110111000000000001000000010000011100010111000111110111111101111111111100010000011100010111000111110111	aiaaiaa	64	N	NA	7	aiaaiaa	64	00010000011100010111000111110111000000000001000000010000011100010111000111110111111101111111111100010000011100010111000111110111
92	7	00001000100011101000111011101111000000000000100000001000100011101000111011101111111011111111111100001000100011101000111011101111	aiaaaii	64	N	NA	7	aiaaaii	64	00001000100011101000111011101111000000000000100000001000100011101000111011101111111011111111111100001000100011101000111011101111
93	7	00000100010011010100110111011111000000000000010000000100010011010100110111011111110111111111111100000100010011010100110111011111	aiaaaia	64	N	NA	7	aiaaaia	64	00000100010011010100110111011111000000000000010000000100010011010100110111011111110111111111111100000100010011010100110111011111
94	7	00000010001010110010101110111111000000000000001000000010001010110010101110111111101111111111111100000010001010110010101110111111	aiaaaai	64	N	NA	7	aiaaaai	64	00000010001010110010101110111111000000000000001000000010001010110010101110111111101111111111111100000010001010110010101110111111
95	7	00000001000101110001011101111111000000000000000100000001000101110001011101111111011111111111111100000001000101110001011101111111	aiaaaaa	64	N	NA	7	aiaaaaa	64	00000001000101110001011101111111000000000000000100000001000101110001011101111111011111111111111100000001000101110001011101111111
96	7	11101000100000001000000000000000111111101110100011101000100000001111111011101000111010001000000011111111111111101111111011101000	aaiiiii	64	N	NA	7	aaiiiii	64	11101000100000001000000000000000111111101110100011101000100000001111111011101000111010001000000011111111111111101111111011101000
97	7	11010100010000000100000000000000111111011101010011010100010000001111110111010100110101000100000011111111111111011111110111010100	aaiiiia	64	N	NA	7	aaiiiia	64	11010100010000000100000000000000111111011101010011010100010000001111110111010100110101000100000011111111111111011111110111010100
98	7	10110010001000000010000000000000111110111011001010110010001000001111101110110010101100100010000011111111111110111111101110110010	aaiiiai	64	N	NA	7	aaiiiai	64	10110010001000000010000000000000111110111011001010110010001000001111101110110010101100100010000011111111111110111111101110110010
99	7	01110001000100000001000000000000111101110111000101110001000100001111011101110001011100010001000011111111111101111111011101110001	aaiiiaa	64	N	NA	7	aaiiiaa	64	01110001000100000001000000000000111101110111000101110001000100001111011101110001011100010001000011111111111101111111011101110001
100	7	10001110000010000000100000000000111011111000111010001110000010001110111110001110100011100000100011111111111011111110111110001110	aaiiaii	64	N	NA	7	aaiiaii	64	10001110000010000000100000000000111011111000111010001110000010001110111110001110100011100000100011111111111011111110111110001110
101	7	01001101000001000000010000000000110111110100110101001101000001001101111101001101010011010000010011111111110111111101111101001101	aaiiaia	64	N	NA	7	aaiiaia	64	01001101000001000000010000000000110111110100110101001101000001001101111101001101010011010000010011111111110111111101111101001101
102	7	00101011000000100000001000000000101111110010101100101011000000101011111100101011001010110000001011111111101111111011111100101011	aaiiaai	64	N	NA	7	aaiiaai	64	00101011000000100000001000000000101111110010101100101011000000101011111100101011001010110000001011111111101111111011111100101011
103	7	00010111000000010000000100000000011111110001011100010111000000010111111100010111000101110000000111111111011111110111111100010111	aaiiaaa	64	N	NA	7	aaiiaaa	64	00010111000000010000000100000000011111110001011100010111000000010111111100010111000101110000000111111111011111110111111100010111
104	7	10000000111010000000000010000000111010001111111010000000111010001110100011111110100000001110100011111110111111111110100011111110	aaiaiii	64	N	NA	7	aaiaiii	64	10000000111010000000000010000000111010001111111010000000111010001110100011111110100000001110100011111110111111111110100011111110
105	7	01000000110101000000000001000000110101001111110101000000110101001101010011111101010000001101010011111101111111111101010011111101	aaiaiia	64	N	NA	7	aaiaiia	64	01000000110101000000000001000000110101001111110101000000110101001101010011111101010000001101010011111101111111111101010011111101
106	7	00100000101100100000000000100000101100101111101100100000101100101011001011111011001000001011001011111011111111111011001011111011	aaiaiai	64	N	NA	7	aaiaiai	64	00100000101100100000000000100000101100101111101100100000101100101011001011111011001000001011001011111011111111111011001011111011
107	7	00010000011100010000000000010000011100011111011100010000011100010111000111110111000100000111000111110111111111110111000111110111	aaiaiaa	64	N	NA	7	aaiaiaa	64	00010000011100010000000000010000011100011111011100010000011100010111000111110111000100000111000111110111111111110111000111110111
108	7	00001000100011100000000000001000100011101110111100001000100011101000111011101111000010001000111011101111111111111000111011101111	aaiaaii	64	N	NA	7	aaiaaii	64	00001000100011100000000000001000100011101110111100001000100011101000111011101111000010001000111011101111111111111000111011101111
109	7	00000100010011010000000000000100010011011101111100000100010011010100110111011111000001000100110111011111111111110100110111011111	aaiaaia	64	N	NA	7	aaiaaia	64	00000100010011010000000000000100010011011101111100000100010011010100110111011111000001000100110111011111111111110100110111011111
110	7	00000010001010110000000000000010001010111011111100000010001010110010101110111111000000100010101110111111111111110010101110111111	aaiaaai	64	N	NA	7	aaiaaai	64	00000010001010110000000000000010001010111011111100000010001010110010101110111111000000100010101110111111111111110010101110111111
111	7	00000001000101110000000000000001000101110111111100000001000101110001011101111111000000010001011101111111111111110001011101111111	aaiaaaa	64	N	NA	7	aaiaaaa	64	00000001000101110000000000000001000101110111111100000001000101110001011101111111000000010001011101111111111111110001011101111111
112	7	10000000000000001110100010000000111010001000000011111110111010001110100010000000111111101110100011111110111010001111111111111110	aaaiiii	64	N	NA	7	aaaiiii	64	10000000000000001110100010000000111010001000000011111110111010001110100010000000111111101110100011111110111010001111111111111110
113	7	01000000000000001101010001000000110101000100000011111101110101001101010001000000111111011101010011111101110101001111111111111101	aaaiiia	64	N	NA	7	aaaiiia	64	01000000000000001101010001000000110101000100000011111101110101001101010001000000111111011101010011111101110101001111111111111101
114	7	00100000000000001011001000100000101100100010000011111011101100101011001000100000111110111011001011111011101100101111111111111011	aaaiiai	64	N	NA	7	aaaiiai	64	00100000000000001011001000100000101100100010000011111011101100101011001000100000111110111011001011111011101100101111111111111011
115	7	00010000000000000111000100010000011100010001000011110111011100010111000100010000111101110111000111110111011100011111111111110111	aaaiiaa	64	N	NA	7	aaaiiaa	64	00010000000000000111000100010000011100010001000011110111011100010111000100010000111101110111000111110111011100011111111111110111
116	7	00001000000000001000111000001000100011100000100011101111100011101000111000001000111011111000111011101111100011101111111111101111	aaaiaii	64	N	NA	7	aaaiaii	64	00001000000000001000111000001000100011100000100011101111100011101000111000001000111011111000111011101111100011101111111111101111
