	Unnamed: 0	k	BF	sign	bias	self_loop	self_loop_index	Real_k	Real_sign	real_bias	EF_BF	avg_sen	complexity
76	76	7	00110000111100110000000000110000000000000011000000000000000000000000000000110000000000000000000000000000000000000000000000000000	iiiaiai	14	Y	6	6	iiiaia	7	0100110100000100000001000000000000000100000000000000000000000000	0.9375	20
77	77	7	01110001111101110001000001110001000100000111000100000000000100000111000111110111000100000111000100010000011100010000000000010000	iiiaiaa	44	Y	0	6	iiaiaa	22	0111000111110111000100000111000100010000011100010000000000010000	1.875	34
78	78	7	01110001111101110001000001110001011100011111011100010000011100010001000001110001000000000001000000010000011100010000000000010000	iiiaiaa	44	Y	1	6	iiaiaa	22	0111000111110111000100000111000100010000011100010000000000010000	1.875	34
79	79	7	01110001111101110111000111110111000100000111000100010000011100010001000001110001000100000111000100000000000100000000000000010000	iiiaiaa	44	Y	2	6	iiaiaa	22	0111000111110111000100000111000100010000011100010000000000010000	1.875	34
80	80	7	01110001111111110001000011110111000100001111011100000000011100010001000011110111000000000111000100000000011100010000000000010000	iiiaiaa	49	Y	3	7	iiiaiaa	49	01110001111111110001000011110111000100001111011100000000011100010001000011110111000000000111000100000000011100010000000000010000	1.953125	35
81	81	7	01110111111111110001000101110111000100010111011100000000000100010001000101110111000000000001000100000000000100010000000000000000	iiiaiaa	44	Y	4	6	iiiaaa	22	0111111100010111000101110000000100010111000000010000000100000000	1.875	34
82	82	7	01110011111101110011000101110011001100010111001100010000001100010011000101110011000100000011000100010000001100010000000000010000	iiiaiaa	49	Y	5	7	iiiaiaa	49	01110011111101110011000101110011001100010111001100010000001100010011000101110011000100000011000100010000001100010000000000010000	1.953125	35
83	83	7	01110101111101110101000101110101010100010111010100010000010100010101000101110101000100000101000100010000010100010000000000010000	iiiaiaa	49	Y	6	7	iiiaiaa	49	01110101111101110101000101110101010100010111010100010000010100010101000101110101000100000101000100010000010100010000000000010000	1.953125	35
84	84	7	00001000100011100000000000001000000000000000100000000000000000000000100010001110000000000000100000000000000010000000000000000000	iiiaaii	14	Y	0	6	iiaaii	7	0000100010001110000000000000100000000000000010000000000000000000	0.9375	20
85	85	7	00001000100011100000000000001000000010001000111000000000000010000000000000001000000000000000000000000000000010000000000000000000	iiiaaii	14	Y	1	6	iiaaii	7	0000100010001110000000000000100000000000000010000000000000000000	0.9375	20
86	86	7	00001000100011100000100010001110000000000000100000000000000010000000000000001000000000000000100000000000000000000000000000000000	iiiaaii	14	Y	2	6	iiaaii	7	0000100010001110000000000000100000000000000010000000000000000000	0.9375	20
87	87	7	00001000111011110000000010001110000000001000111000000000000010000000000010001110000000000000100000000000000010000000000000000000	iiiaaii	23	Y	3	7	iiiaaii	23	00001000111011110000000010001110000000001000111000000000000010000000000010001110000000000000100000000000000010000000000000000000	1.359375	41
