"network_number"	"model_number"	"attractor_number"	"attractor_length"	"attractor_basin_size"
355	0	2	2	388
355	0	3	2	2172
355	0	4	2	284
355	0	5	4	884
356	0	1	1	284
356	0	2	1	1342
356	0	3	1	2262
356	0	4	1	76
356	0	5	1	6
356	0	6	1	58
356	0	7	1	8
356	0	8	2	60
357	0	1	2	936
357	0	2	2	608
357	0	3	2	544
357	0	4	2	472
357	0	5	2	544
357	0	6	2	310
357	0	7	2	352
357	0	8	2	330
358	0	1	1	100
358	0	2	1	16
358	0	3	2	894
358	0	4	2	1707
358	0	5	2	961
358	0	6	2	96
358	0	7	2	127
358	0	8	4	195
359	0	1	4	4096
360	0	1	5	1842
360	0	2	7	2254
361	0	1	1	3726
361	0	2	1	96
361	0	3	4	274
362	0	1	1	18
362	0	2	1	4012
362	0	3	1	66
363	0	1	2	1172
363	0	2	7	2924
364	0	1	3	4096
365	0	1	1	3
365	0	2	1	118
365	0	3	1	3941
365	0	4	1	34
366	0	1	1	312
366	0	2	1	4
366	0	3	1	36
366	0	4	1	4
366	0	5	2	16
366	0	6	3	508
366	0	7	3	456
366	0	8	5	324
366	0	9	5	88
366	0	10	5	96
366	0	11	5	378
366	0	12	5	354
366	0	13	8	768
366	0	14	10	426
366	0	15	10	326
367	0	1	1	84
367	0	2	1	26
367	0	3	1	964
367	0	4	1	2554
367	0	5	1	466
367	0	6	1	2
368	0	1	1	843
368	0	2	1	1709
368	0	3	1	12
368	0	4	2	559
368	0	5	2	973
369	0	1	1	4096
370	0	1	4	2062
370	0	2	4	2034
