"network_number"	"model_number"	"attractor_number"	"attractor_length"	"attractor_basin_size"
297	0	4	2	50
297	0	5	2	409
297	0	6	2	678
297	0	7	2	1905
297	0	8	2	5
297	0	9	2	74
297	0	10	2	64
297	0	11	2	300
297	0	12	2	38
297	0	13	2	26
297	0	14	6	66
297	0	15	6	30
298	0	1	1	4096
299	0	1	1	743
299	0	2	1	27
299	0	3	5	3326
300	0	1	1	864
300	0	2	1	2574
300	0	3	1	16
300	0	4	2	516
300	0	5	2	48
300	0	6	2	8
300	0	7	2	2
300	0	8	4	40
300	0	9	4	28
301	0	1	2	3333
301	0	2	2	714
301	0	3	2	38
301	0	4	2	11
302	0	1	1	4096
303	0	1	1	362
303	0	2	1	16
303	0	3	2	3465
303	0	4	3	253
304	0	1	4	4096
305	0	1	2	218
305	0	2	2	3191
305	0	3	2	687
306	0	1	2	2721
306	0	2	2	1344
306	0	3	2	31
307	0	1	1	3208
307	0	2	1	54
307	0	3	2	834
308	0	1	1	1791
308	0	2	4	938
308	0	3	4	1033
308	0	4	4	334
309	0	1	1	252
309	0	2	1	990
309	0	3	1	186
309	0	4	1	35
309	0	5	1	1
309	0	6	2	419
309	0	7	2	134
309	0	8	4	127
309	0	9	16	1952
310	0	1	1	626
310	0	2	1	604
310	0	3	2	589
310	0	4	2	558
310	0	5	2	73
310	0	6	4	1646
311	0	1	1	4096
312	0	1	1	4096
313	0	1	1	974
313	0	2	4	3122
314	0	1	1	4060
314	0	2	1	36
315	0	1	2	4096
316	0	1	2	4096
317	0	1	2	4096
318	0	1	2	4096
319	0	1	1	252
319	0	2	1	2631
319	0	3	1	40
319	0	4	1	789
319	0	5	1	105
319	0	6	1	34
319	0	7	1	30
319	0	8	1	27
319	0	9	1	9
319	0	10	3	179
320	0	1	1	214
320	0	2	1	1196
320	0	3	1	475
320	0	4	1	332
320	0	5	3	828
320	0	6	3	1051
321	0	1	2	2655
321	0	2	2	21
321	0	3	2	24
321	0	4	2	36
321	0	5	3	473
321	0	6	4	887
322	0	1	1	202
322	0	2	1	342
322	0	3	1	3552
323	0	1	1	1431
323	0	2	2	22
323	0	3	4	82
323	0	4	4	1664
323	0	5	7	897
324	0	1	1	262
324	0	2	1	1914
324	0	3	1	1652
324	0	4	1	268
325	0	1	1	4096
326	0	1	8	4096
327	0	1	2	2621
327	0	2	6	1475
328	0	1	1	216
328	0	2	1	369
328	0	3	1	1245
328	0	4	1	224
328	0	5	1	81
328	0	6	1	1
328	0	7	2	578
328	0	8	2	283
328	0	9	2	337
328	0	10	2	148
328	0	11	2	377
328	0	12	4	115
328	0	13	4	122
329	0	1	2	4096
330	0	1	4	4096
331	0	1	2	2903
331	0	2	2	1193
332	0	1	6	670
332	0	2	28	3426
333	0	1	1	2908
333	0	2	1	1161
333	0	3	1	27
334	0	1	4	2402
334	0	2	4	1451
334	0	3	4	243
335	0	1	1	4096
336	0	1	6	4096
337	0	1	1	10
337	0	2	11	4086
338	0	1	1	272
338	0	2	5	3824
339	0	1	1	983
339	0	2	1	1708
339	0	3	1	21
339	0	4	1	1335
339	0	5	1	16
339	0	6	1	33
340	0	1	1	746
340	0	2	3	850
340	0	3	5	2500
341	0	1	9	4096
342	0	1	10	4096
343	0	1	1	2723
343	0	2	2	1176
343	0	3	2	139
343	0	4	2	58
