	BF_as_int	k	avg_sen	bias
412	1121070679301	6	1.0	11
413	6872316419619422207	6	1.0	53
414	286462259	6	1.0	11
415	3708493806698495999	6	1.0	53
416	17761039	6	1.0	11
417	1098613876531920895	6	1.0	53
418	236223201343	6	1.0	11
419	288230372192288767	6	1.0	53
420	282578833834755	6	1.0	11
421	4557430889876783103	6	1.0	53
422	18764712121685	6	1.0	11
423	6149665288883798015	6	1.0	53
424	844506535755795	6	1.0	11
425	4035005360442916863	6	1.0	53
426	22391	6	1.0	11
427	1231171548132409343	6	1.0	53
428	3604599	6	1.0	11
429	1296777207938547711	6	1.0	53
430	8031	6	1.0	11
431	362539770003324927	6	1.0	53
432	3967	6	1.0	11
433	76561193665298431	6	1.0	53
434	72340190017946885	6	1.0	11
435	6872351741430431615	6	1.0	53
436	50530063	6	1.0	11
437	1089659178957406207	6	1.0	53
438	3311419790131	6	1.0	11
439	3690699891396313087	6	1.0	53
440	373662154847	6	1.0	11
441	432345560301699071	6	1.0	53
442	1407396359766101	6	1.0	11
443	6196768366623940607	6	1.0	53
444	5570687	6	1.0	11
445	143928271099133951	6	1.0	53
446	18773302055699	6	1.0	11
447	3978930267417477119	6	1.0	53
448	16986931	6	1.0	11
449	3689362338734931967	6	1.0	53
450	3328599656199	6	1.0	11
451	2242792610659827711	6	1.0	53
452	1172526084915	6	1.0	11
453	3689573992433188863	6	1.0	53
454	64424511247	6	1.0	11
455	1089871105797128191	6	1.0	53
456	286331699	6	1.0	11
457	3690549776933191679	6	1.0	53
458	365072220287	6	1.0	11
459	144115185223729151	6	1.0	53
460	845537326859011	6	1.0	11
461	4557431713436745727	6	1.0	53
462	1172526093653	6	1.0	11
463	6149102338930900991	6	1.0	53
464	84219221	6	1.0	11
465	6149488682119200767	6	1.0	53
466	3380139262771	6	1.0	11
467	3692951691075780607	6	1.0	53
468	1120986486101	6	1.0	11
469	6149102338528247807	6	1.0	53
470	284786396693251	6	1.0	11
471	4557431713432567807	6	1.0	53
472	1398101	6	1.0	11
473	6148917623267524607	6	1.0	53
474	22367	6	1.0	11
475	366480419677274111	6	1.0	53
476	286462739	6	1.0	11
477	3978709784340725759	6	1.0	53
478	30064774927	6	1.0	11
479	1085367506438193151	6	1.0	53
480	16977679	6	1.0	11
481	1085155854207942655	6	1.0	53
482	5701751	6	1.0	11
